FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0027,0.9616
0.0,0.0241,0.9399
0.001,0.0241,0.9392
0.001,0.0348,0.9359
0.0019,0.0348,0.9359
0.0019,0.0561,0.9287
0.0029,0.0642,0.9285
0.0029,0.0829,0.9252
0.0039,0.0829,0.9242
0.0039,0.0882,0.923
0.0039,0.0936,0.9218
0.0039,0.0963,0.9217
0.0039,0.1016,0.9189
0.0039,0.1043,0.9186
0.0068,0.1043,0.9146
0.0068,0.115,0.9114
0.0077,0.115,0.9114
0.0077,0.1257,0.9081
0.0087,0.1257,0.9076
0.0087,0.1283,0.9036
0.0116,0.1283,0.9013
0.0116,0.1337,0.8991
0.0126,0.1337,0.8963
0.0126,0.1497,0.8904
0.0126,0.1551,0.887
0.0126,0.1578,0.8861
0.0135,0.1578,0.8842
0.0135,0.1631,0.8839
0.0135,0.1658,0.8833
0.0135,0.1711,0.8832
0.0135,0.1818,0.8753
0.0145,0.1818,0.875
0.0164,0.1818,0.8746
0.0164,0.1845,0.8743
0.0174,0.1845,0.8743
0.0174,0.1952,0.8675
0.0184,0.1952,0.8655
0.0184,0.1979,0.8645
0.0184,0.2032,0.8633
0.0184,0.2059,0.8628
0.0213,0.2059,0.8623
0.0213,0.2353,0.8538
0.0222,0.2353,0.8535
0.0222,0.246,0.8504
0.0242,0.246,0.8466
0.0242,0.2513,0.8427
0.0251,0.2513,0.8422
0.0251,0.2674,0.8386
0.0261,0.2674,0.8384
0.028,0.2701,0.8382
0.028,0.2727,0.838
0.028,0.2781,0.837
0.029,0.2781,0.8368
0.029,0.2861,0.8332
0.0309,0.2861,0.832
0.0309,0.2914,0.8301
0.0319,0.2941,0.8298
0.0319,0.2968,0.8295
0.0329,0.2968,0.8285
0.0329,0.2995,0.8256
0.0338,0.2995,0.8241
0.0338,0.3021,0.8225
0.0348,0.3021,0.8208
0.0348,0.3075,0.8198
0.0377,0.3075,0.8157
0.0377,0.3102,0.8152
0.0396,0.3102,0.8151
0.0396,0.3155,0.8138
0.0415,0.3155,0.8131
0.0415,0.3182,0.8129
0.0425,0.3182,0.8124
0.0425,0.3235,0.8097
0.0435,0.3262,0.8097
0.0435,0.3289,0.8093
0.0444,0.3316,0.8085
0.0444,0.3422,0.8074
0.0454,0.3422,0.807
0.0454,0.3476,0.8024
0.0464,0.3476,0.8022
0.0464,0.3529,0.8006
0.0473,0.3529,0.8003
0.0473,0.3556,0.8002
0.0483,0.3556,0.8
0.0483,0.3583,0.7987
0.0493,0.3583,0.7985
0.0493,0.369,0.7964
0.0502,0.369,0.7962
0.0502,0.3743,0.7949
0.0512,0.3743,0.7938
0.0512,0.3957,0.7878
0.0531,0.3957,0.7875
0.0541,0.3957,0.7858
0.0541,0.4011,0.7852
0.057,0.4011,0.7833
0.057,0.4064,0.7826
0.058,0.4064,0.7825
0.0589,0.4091,0.7824
0.0618,0.4091,0.7794
0.0618,0.4118,0.7792
0.0638,0.4118,0.7779
0.0638,0.4251,0.7768
0.0647,0.4251,0.7767
0.0647,0.4278,0.7761
0.0686,0.4278,0.7737
0.0686,0.4305,0.773
0.0715,0.4305,0.77
0.0715,0.4332,0.7688
0.0744,0.4332,0.7666
0.0744,0.4358,0.7664
0.0754,0.4358,0.7647
0.0754,0.4385,0.7645
0.0773,0.4385,0.7625
0.0773,0.4465,0.7598
0.0792,0.4465,0.7585
0.0792,0.4519,0.757
0.0802,0.4519,0.7564
0.0802,0.4626,0.7542
0.0812,0.4626,0.7538
0.0812,0.4652,0.7529
0.0812,0.4706,0.7529
0.0831,0.4706,0.752
0.0831,0.4786,0.75
0.085,0.4786,0.7491
0.085,0.4893,0.747
0.0899,0.4893,0.7406
0.0899,0.492,0.74
0.0928,0.492,0.7381
0.0928,0.5134,0.735
0.0937,0.5134,0.7334
0.0937,0.5187,0.7311
0.0957,0.5187,0.7295
0.0957,0.5214,0.7285
0.0986,0.5214,0.7239
